70세,threescore
교제비,"expense account, swindle sheet"
교제비의,expenseaccount
교제하다,"associate, consort, converse"
교조,dogma
교조주의,dogmatism
교주,hierarch; sheik(h)
교직,The teaching profession
교직나사,valencia
교직양용의,AC/DC
교직원회,congregation
교질,colloid
교차,"the difference between top and bottom, highest and lowest; a mixture of emotions; crossing-over, intersection"
교차되다,to be crisscrossed
교차되어,across
교차로,a cross street
교차시키다,cross; intervein
교차시험,cross matching
교차연락,anastomosis
교차점,the point of intersection
교차타당성,cross-validity
교차하다,"crisscross, cross, cut, intersect"
교착,ankylosis; conglutination
교착성의,"agglutinative, adhesive, conglutinative"
교착시키다,ankylose; counterchange
교착하는,agglutinative; conglutinant
교착하다,ankylose; conglutinate
교창집,antiphonary
교체,Shift or change or alternate
교체요원,replacement
교체운전자,codriver
교체입체교차점,interchange
교체자,relief; replacement
교체하다,"to relieve, to change out"
교탁,a rostrum for teaching
교태,coquetry
교통,Traffic or transportation
교통마비,traffic jam
교통부,the Ministry of Transportation
교통사고,a traffic accident
교통사고율,the rate of traffic accidents
교통수단,communication
교통순위우선,priority
교통신호,stopgo sign
교통안전,traffic safety
교통지시관,lollipop
교통차단,"blockade, isolation, quarantine"
교통하다,be in communication with
교파,"church, denomination, sect"
교파의,Nestorian
교포,A Korean living abroad
교학권,magisterium
교할한,foxy
교합,an occlusion
교합하다,to occlude
교향곡,"sinfonia, symphonist, symphony"
교향시,symphonic poem
교향악단,sinfonia; symphony orchestra
교향적인,symphonic
교형구,garrot(t)e
교호,alternation
교호계산,account current
교호적인,cross
교화,"guide correctly, edification"
교화된,"civilized, cultured"
교화자,culturist
교화적인,reformatory
교화체,gel
교화하다,"culture, edify, moralize"
교환,An exchange
교환대,switchboard
교환력,exchange force
교환무역,"exchange, trading good"
교환불능,inconvertibilty
교환수,operator
교환적인,commutative
교환품,replacement
교환하다,To exchange
교환학생,exchange student
교활,"craft, cunning, guile, wiliness"
교활하게,"crafty, foxily, slick"
교활한,"artful, crafty, cunning, guileful, insidious, rascally, scheming, sly"
교활함,subtlety
교황,"the Pope, the Pontiff, the Holy Father"
교황권,the Vatican
교황당원,Guelf
교황령,Papal States; popedom
교황정치,Vatican
교황청,Holy See
교회,Preach or moral instruction
교회당,chapel
교회법,canon law
교회법의,"canonistic, -tical"
교회비,churchscot
교회사,chaplain
교회서기,clerk
교회원,communicant
교회장,Christian burial
교회조직,church
교회주의,ecclesiasticism
교회학,ecclesiology
교회학교,church school
교회학상의,ecclesiological
교훈,Edification or giving instructions to
교훈담우화,apologue
교훈자,preceptor
교훈자의,preceptorial
교훈적인,"didactic, instructive, moral"
교훈조의,sententious
교훈주의,didacticism
구,"orb, sphere; phrase, clause, paragraph; region, one of the 16 political and administrative parts of seoul , wa"
구15,Ward or district
구각,trestle
구각교,trestle bridge
구간,section
구갈,cotton mouth
구강,the mouth
구강궤양,canker
구강병학,stomatitis
구강염,trench mouth
구강외과,dental surgery
구강이학,stomatitis
구개,palate
구개도,palatogram
구개수의,uvular
구개음의,palatal; uvular
구개음화,palatalization
구개음화하다,palatalize
구개의,palatal
구걸,begging
구걸치기,enjambment
구걸하는,begging
구걸하다,"beg, panhandle"
구겨지다,"to crumple, crease, ruffle"
구겨진,creased
구결하는,mendicant
구경,"an opening, an aperture; the last thing to happen; An enjoyable sight or spectacle"
구경가다,visit
구경각,enlightenment (of Buddha)
구경거리,"circus, pageantry, a sight, spectacle"
구경꾼,"bystander, looker on, spectator, standerby"
구경비,relative aperture
구경양배추,kohlrabi
구경측정,calibration
구경측정기,calibrator
구경하다,To watch or enjoy watching
구과,a cone (like those of a conifer); spherulite (a radiating crystalline body)
구과식물,conifer
구관조,hill myna
구교도,Catholic
구교의,Catholic
구구표,multiplication table
구귀족,ancienne noblesse
구균,coccus
구근,bulb
구근성의,bulbaceous
구금,"chain, imprisonment"
구급선,standby
구급약,emergency medicine
구급차,"ambulance, meat wagon"
구기,"any game which uses a ball (e.g. lacrosse); a ladle, a scooper"
구기다,"crease, crinkle, crumple, ruffle"
구김살,"creases, creasing, crimples, crinkles, rumples"
구난차,tow car (truck)
구내,"an enclosure, a precinct (a churchyard, campus, compound)"
구내경,stomatoscope
구내매점,concession
구단,a ball team
구단주,owner of a ball team
구대,gantry
구더기,"grub, maggot; muckworm, a fishing worm"
구덩이,"an excavation site, a pit , sinkage"
구도,searching for religious/moral enlightenment; composition
구도자,composer
구도하다,to compose
구동,"to drive, to apply power and move"
구동륜,the driving wheel
구동장치,a running gear
구동축,"a driving axle, driving shaft"
구두,punctuation; oral or verbal; Shoes or boots
구두가죽,shoe leather
구두끈,"bootlace, shoelace, shoestring"
구두닦이,"(for shining the boots), boots, shoeblack"
구두로,"verbally, vocally, by word of mouth"
구두법,punctuation
구두쇠,"cheapskate, miser, penny pincher, tightwad"
구두신,shoe leather
구두약,shoe polish
구두점,"punctuation, punctuation mark"
구두창,the outsole
구둣골,boot tree
구둣발질하다,boot
구둣방,cordwainer
구둣솔,shoebrush
구둣주걱,shoehorn
구들장,the stone used to make the floor of a Korean ondol-heated house after 
구들직장,stayathome
구듯발질,boot
구렁말,Bayard; chestnut
구렁텅이에서,de profundis
구레나룻,"burnsides, whiskers"
구력,old style
구령,a verbal order
구루병,English disease; rickets
구류,"arrest, custody, detention"
구류소,roundhouse
구류하다,pound
구르기,rolling
구르는,rolling
구르다,Roll over; to stamp one`s feet
구름,A cloud or the clouds
구름같은,cloud-built; cloudy
구름경치,cloudscape
구름나라,cloudland
구름다리,gantry; overpass
구름무늬,cloudiness
구름속의,innubibus
구름없는,unclouded
구름학,nephology
구릉,swell
구릉성,hilliness
구리,copper
구리같은,"coppery, cupreous"
구리빛,copper
구린,sniffy; stinking
구린내,the smell of a fart or shit
구립운석,chondrite
구릿핓,copper color
구마이트,gummite
구매,buying
구매력,purchasing power
구매자,purchaser
구멍,A hole
구멍뚫기,boring; perforation
구멍없는,eyeless
구멍투성이의,holey
구면,"an old acquaintance; a sphere, sphericity"
구면계,spherometer
구명,to research and bring to light; to save somebody`s life
구명견,Bernard
구명기,dumbo
구명동의,personal flotation device
구명보트,whaleboat
구명삭,life line
구명정,lifeboat
구명조끼,Mae west
구모양의,spheric
구문,construction
구문론,syntactics; syntax
구문의,twicetold
구물,glaze
구미,the way something tastes; Occident (Europe and America)
구미의,Euramerican
구미화하다,occidentalize
구밀복검,"the words are nice and sweat, but he is hiding a sword in his bosom."
구박,ill-treatment
구박하다,"to put pressure on, to give a hard time to"
구별,A distinction or a separation
구별되다,To be separated andistinguished
구별된,discrete
구별적인,discriminative
구별하는,diacritic
구별하다,To distinguish between A and B
구별하여,distinctively; from
구부러져서,crooked
구부러지다,"twist, crook, curve"
구부러짐,winding
구부렁이,curve
구부리다,"bend, buckle, crook, flex, warp"
구분,A division or section
구분되다,To be put into sections
구분선,contortive
구분적인,dividing
구분점,breakpoint
구분하다,To divide or to classify
구불구불하여,mazily
구비,"essential, absolutely required (facilities, paperwork); oral tradition"
구비서류,the required documents
구비원,beadhouse
구빈세,poor rate
구빈원,poorhouse
구사,to have free command over
구사일생,"a near thing, a close call, escaping thanks to the hair on your chinny"
구사하다,order as if at one`s beck and call; to have completely free control and usage over
구상,"embodiment; globular, spherical; form a concept, design sth, visualize sth"
구상골,unciform
구상기관,crotchet
구상난풀,Indian pipe
구상력,imagination
구상유취,The words are so childish it smells like baby`s milk coming from the m
구상적인,representational
구상주의,representationalism
구상파의,representational
구상화,visualization
구색,"assortment, a collection of different products"
구석,1) a corner 2) an out of the way place
구석구석,Every nook and corner
구석기,Paleolith
구석돌,coign
구석지다,"sequestered, recluse; not in the middle"
구설,"disparaging, slandering"
구설수,distasteful to the ears
구성개념,construct
구성되다,To be organized
구성물,composition
구성법,fabric
구성분,constitutive
구성상,constitutional
구성요소,"a constituent, an ingredient"
구성원,member
구성은,nee
구성자,"a constitutor, a former"
구성적인,constructional
구성주의,"constructionism, constructivism"
구성체,the organization
구성하다,To organize or makeup
구세계,Old World
구세계의,oldworld
구세군,Salvation Army
구세주,Jesus Christ; the messiah and savior of the world
구세주의,Messianic
구속,speed of a pitched ball; To arrest or put in detention
구속되다,To be arrested
구속력,the force with which somethihng is attached
구속물,cramp
구속복,a strait jacket
구속영장,bench warrant; commitment
구속하다,To arrest or restrain
구수하다,to be very tasty
구술,"oral, spoken"
구술서,confession
구술자,dictator
구술하다,nuncupate
구스,Cush
구슬,"a bead, gem, jewel"
구슬눈,bulblet
구슬땀,beads of sweat
구슬리다,to coax into doing
구슬선,"beading, beadwork"
구슬세공,beadwork
구슬프다,sad
구시가,core city
구시에무님,Gush Emunim
구식사람,"dodo, oldtimer"
구식의,"obsolete, oldfashioned, outmoded"
구식인,"sb living in a previous time, outmoded, victorian"
구식화,obsolescence
구실,"job, task, duty; chicanery, excuse, guise, pretence, pretext, veil"
구심력,centripetal force
구심성,centrality
구심성의,centripetal
구심적으로,centripetal
구십춘광,"old, yet so young."
구씨관,Eustachian tube; syrinx
구아,bulblet; Eurasia
구아노,guano
구아노신,guanosine
구아니딘,guanethidine
구아닌,guanine
구애,"courting, courtship, wooing; sticking (to formalities, the rules, est. practices)"
구애행동,mating behavior
구어의,colloquial
구어체,colloquial speech
구어표현,colloquial
구역,A zone or district
구역질,"nausea, vomiting, sickness"
구역질나다,"sth that makes you queasy, nauseate"
구연산염,citrate
구연성,citric
구와관절,enarthrosis
구우일모,one piece of hair among 9 cows ; a metaphor for a needle in a haystack
구워넣다,anneal
구워삶다,cajole
구워지는,broiling
구워지다,"bake, cook, grill, roast"
구원,redemption; relief; rescue
구원요청,SOS
구원의,sempiternal
구원투수,a relief pitcher
구원하다,relieve
구월,September
구유,"crib, manger, trough"
구의,"phrasal; spheral, spheric, spherical"
구인,"arresting, taking into custody; looking to hire somebody, help wanted"
구입,Purchase or buying
구입대장,invoice book
구입품,purchase
구입하다,Purchase or buying
구잠정,"a subchaser, a submarine chaser"
구장,betel
구장법,rectification
구장총,muzzleloader
구적기,integrator
구적법,"quadrature, stereometry"
구전,"a commission, a fee; saying or spreading by word of mouth, oral tradition"
구절,fetlock
구절법,phrasing
구절양장,a very dangerous path.
구정물통,slop pail
구정보,given information
구제,"salvation, saving; helping sb in need of social care/help; insecticide"
구제금융,a bailout plan
구제도,ancienregime; fossil
구제력있는,expellant
구제법,cure
구제약,"expellant, insecticide"
구제의,"redemptive, rescueing"
구제자,reliever
구제책,"help, remedy"
구제하다,"redeem, relieve, help"
구조,"salvation, saving, rescueing; Construction or structure"
구조도,"a structural diagram (patents, specific English)"
구조도로,schematically
구조물,"fabrication, the fabric/constitution"
구조법,construction
구조부,"parts of the construction, constructive elements (of a bldg)"
구조상,constitutionally
구조식,"a graphic formula, a constitutional formula"
구조신호,"SOS, a call for help"
구조이성의,metameric
구조자,"a deliverer, rescuer, saver"
구조주의,structuralism
구조지질학,tectonics
구조하다,"to rescue; to construct, build"
구조학,tectonics
구주회,ninepin; skittles
구주희의공,cheese
구중중함,dinginess
구중향정,cachou
구즈베리나무,gooseberry brsh
구직,finding employment
구직자,a job hunter
구진,papula
구진의,papulose
구질구질,sth is dirty and a little disgusting
구차,"stupid, awkward, a feeble attempt"
구첩반상,a table set with 9 side dishes; a set of bowls for these side dishes
구청,A ward or district office
구체,"concreteness; globe, orb, sphere"
구체성,materiality
구체적,Concretely
구체절차,remedy
구체하다,"concreteness; a sphere, a globe"
구체하하다,crystallize
구체화,"embodiment, incarnation, materialization"
구체화하다,"embody, incarnate, materialize"
구체활자,old style
구축,"extrusion, driving sb away; muscle contracture; construction"
구축력,"expulsive power, the power to drive away"
구축업,a construction company
구축함,"a destroyer, a torpedoboat destroyer"
구출,"deliverance, extrication, release, rescue"
구출자,rescuer
구출조,rescue team
구출하다,"to rescue, retrieve"
구충,disinsectization
구충하는,helminthic
구취,halitosis
구치,retention; grinder
구치소,"a jail, lockup, prison"
구치소장,prison warden
구타,"battery, drubbing, shellacking, assault and battery"
구타페르카,guttapercha
구타하다,nail
구태,the former state of things
구태여,"intentionally did not, on purpose did not"
구토,"vomiting, throwing up"
구토물,vomit
구토방지작용의,antiemetic
구풍계,barocyclonometer
구풍제,carminative; gripe water
구하기,exoneration
구하는,saving
구하다,Rescue a person; 1) To buy or purchase or 2) look for or seek or want
구하지않는,unsought
구해내다,"deliver, extricate, save"
구핵원자,nucleophile
구현,"embodiment, realization"
구현시키다,"to incarnate, to bring to reality, to actualize"
구현하다,materialize
구협의,faucal
구형,"sentencing after trial; the prosecutor asking to prosecute a case; globosity, rotundity, sphericity"
구형낭,saccule
구형도,sphericity
구형체,"globoid, spheroid"
구형판,globe valvep
구호,"charity, relief aid; a shibboleth,a slogan"
구호금,"charity, money for charity"
구혼,"courtship, suiting a woman for marriage"
구혼기간,courtship
구혼자,admirer; beau
구혼하다,looking for sb to marry
구획,"division, partition"
구휼품분배관,almoner
구휼품분배소,almonry
국,Soup or broth; department
국가,A state or a nation
국가계획,"the national plan, the plan for the nation"
국가고시,a national exam
국가독립주의,nationalism
국가로서,nationally
국가론,nationalism
국가사,national history
국가적,National or of the state
국가주의,nationalism
국가주의자,nationalist
국경,confine
국경-접하다,border
국경의,frontier; limitrophe
국경일,national holiday
국경중간지대,borderland
국경지대,the borderlands
국경지방,frontier
국고,exchequer; public purse; treasury
국고금고,treasury
국고보조금,govt subsidies
국고의,fiscal
국고채권,exchequer bond
국교도,churchman
국교불신봉,nonconformance
국교신자,churchman
국교주의,churchism
국교회,national church
국기,The national flag
국기게양식,"color, colour"
국내,Inside the country
국내로,inland
국내무역,interior
국내법,civil law
국내선,Domestic airline
국내수요,domestic demand
국내에서,"domestically, inland, internally"
국내외,The inside and outside of a country or home and abroad
국내운항,cabotage
국내의,"domestic, internal to a country"
국내이주자,inmigrant
국내탄,domestic coal
국립,Government established
국립경찰neuropsychiatric,NP
국립공원,a national park
국립교회,national church
국립극장,Comedie-Francaise
국립묘지,national cemetery
국립미술관,Nat. Gal.; National Gallery
국립보건원,NIH
국립은행,national bank
국립의,national
국면,an aspect of/concerning about some situation
국무성,"state; State Department, the"
국무장관,secretary
국무총리,the prime minister
국무총리실,"the Prime Minister's Office, the Office of the Prime Minister"
국무회의,a Cabinet meeting
국문,the Korean language
국물,soup or broth or gravy
국민,The people or a nationality
국민경제,national economy
국민공회,National Convention
국민교회,national church
국민군,Landsturm; militia
국민발의권,initiative
국민병,militiaman
국민생산,national product
국민서약,National Convenant
국민성,nationality
국민소득,national income
국민순생산,net national product
국민연금,the national pension
국민으로국가로,"nationalize, ise"
국민으로서,nationally
국민의회,the national assembly
국민임,nationality; nationhood
국민적,National or for citizens
국민정부,National China; National Government
국민투표,referendum
국민투표의,referendary
국민학교,"grade school, junior school, primary school"
국민화,nationalization
국민회의파,National Congress
국방,national defense
국방병,fencible
국방부,the Ministry of National Defense
국방비,defense spending
국방성,DOD
국방장관,the minister of defense
국번,dialing
국별의,bycountry
국보,a national jewel
국본조칙,pragmatic sanction
국부,wealth of the country
국부의,regional
국부적인,local
국사,The history of a country
국사무쌍,sb who is so excellent that he has no pair (nobody can compete with hi
국사범의,treasonable
국사조칙,pragmatic sanction
국산,A country's product
국새,"the great seal, the national seal"
국석,ammonite; snakeroot
국세조사,census
국세지도,national atlas
국세청,Internal Revenue Service; revenue
국소명,toponymy
국수,Noodles
국수발,국수사리 (just the noodles)
국수주의자,fascist
국수주의적,nationalistic
국어,1) The national language or 2) Korean
국영,governmentoperated; nationalization
국영의,staterun
국영화하다,"nationalize, ise"
국왕,A king or a monarch
국왕다운,kinglike
국왕살해,regicide
국왕살해자,regicide
국왕지지자,loyalist
국외자,"a bystander, an outlander, a outsider"
국외추방,exile
국외추방자,expellee
국유,public ownership
국유로하다,"nationalize, ise"
국유의,national
국유화,nationalization
국의,departmental
국익,for the profit/gain of the nation
국자,"dipper, ladle, scoop"
국장,"chief, commissioner; national mourning; national emblem"
국적,Nationality or citizenship
국정세율,general tariff
국정의,national
국제,International
국제간에,internationally
국제경기출전자,international
국제관계,foreign affairs
국제관리화,internationalization
국제법,international law; public law
국제법론,publicism
국제선,International airline
국제성,"internationalism, being international"
국제어,interlingua; world language
국제영화제,International Film Festival
국제올림픽대회,Olympiad; Olympic
국제의,international
국제인,cosmopolite
국제적,International
국제적십자,International Red Cross
국제적으로,internationally
국제적임,internationality
국제주의,internationalism
국제주의자,"an internationalist, a oneworlder"
국제협력국,I.C.A.
국제협정,convention
국제화,Internationalization
국조,national bird
국좌의,ultraleft
국지,a delimited region; the national will (?)
국채,government bond; national debt
국책,the national policy
국체,constitution; national debt
국토,"country, land, realm"
국토계획,land planning
국토부,"The Ministry of Land, Transport and Maritime Affairs"
국한,"confinement, localization, ultima thule, limitation"
국화,chrysanthemum
국화속,chrysanthemum
국회,The National Assembly
국회법,parliamentary law
국회의사당,Capitol
국회의원,A member of the national Assembly
국회의원선거구,borough
군,"group, crowd; mister, senor; county, rural district"
군가산점제,a system whereby a discharged soldier extra points in national examina
군거성,gregariness
군거성의,gregarious
군거지,colony
군거하여,gregarly
군걱정,overcare
군견병,security or watchforces
군계일학,a crane (일학)among a flock of chickens (군계). A somebody who really stic
군관구,corps area
군구,township
군국,garrison state
군국주의,militarism
군국주의의,militaristic
군국주의자,militarist
군국주의화하다,Prussianize
군국화,militarization
군국화하다,militarize
군기,lots of things to do with the military (military discipline/spirit/ens
군기의,vexillary
군단,"corps, legion"
군단장님,the general in charge of an army legion
군대,Troops or an army
군대개미,driver ant
군대군,(standing(reserve) army
군대생활,camp
군대식의,GI
군대화,militarization
군더더기,a superfluous explanation
군더더기의,de trop
군데,A place or spot
군도,archipelago; saber
군락,"a community, a group of villages; a colony (plants, trees)"
군론,group theory
군림,"reign, dominion"
군림자,a ruler
군림하다,reign
군마,"charger, courser, warhorse"
군만두,pot sticker
군말,"complaining, refusing to play along"
군매,byblow
군모,a service cap for the military
군목,chaplain; Holy Joe
군무,service
군민,county
군바리,a derisive word for 군인 (soldier)
군번,SN
군벌,a warlord
군법,military law
군복,"field gray, regimental uniform"
군부,the military authorities
군불,a fire for heating the 온돌 system
군비,armaments in preparation for war
군사,"A soldier, a private (not sb giving orders); Military affairs"
군사령관,military commander (sirdar)
군사분계선,the line between N. and S. Korea
군사시설,installation
군사정부,junta
군사학,military science
군사행동,operation
군산,"produced by the military; many mountains gathered together; Gunsan, a city in Jeollabuk-do"
군살,"flab, fat on the body"
군상,a crowd of people
군색한,destitute
군생의,republican
군생하다,"animals clump together, cluster"
군서,community
군세,military power
군소리하다,jaw
군속,civilian
군속도,group velocity
군속의,civilian
군수,eparch/ a governor of a county; supplies for the waging of war
군수송차,personnel carrier
군수품,"war materials, munition, ordnance, public stores of weapons"
군신,ruler and subject
군악,military music
군악대,drum corps; military band
군악대행진곡,field music
군악제,military music
군용기,warplane
군용의,military
군용차량,combat car
군용총,service rifle
군용트럭,camion
군웅할거,군웅 heroes in-fighting
군의관,"medical officer, surgeon"
군인,Sb in the military
군인다운,military
군일,leafraking
군자금,"a military chest, a war chest"
군자불기,"a talented person is a jack-of-all-trades, not like a container that j"
군자삼락,the educated person (군자 (君子))understands the 3 kinds of fun (세 가지 낙). 
군자연하는,holierthanthou
군장,march
군정,"martial rule, military government, stratocracy; the financial situation of the military"
군주국,monarchy
군주다운,monarchal
군주의,"monarchal, monarchic"
군주인,liege
군주임,lordship
군주제,a monarchy
군주제주의자,"a monarchist, a proponent of monarchies"
군주주의,"monarchal, monarchism"
군중,"crowd, horde, mob, throng"
군집되다,to assemble together
군집하다,"congregate, to crowd together"
군청,lapis; a civil servant in a GUN (district)
군청색,lapis
군체,colony
군체의,colonial
군축위원회,CCD
군침,drivel
군침을흘리다,drivel
군침투성이가되게하다,beslaver
군턱,dewlap
군턱의,jowly
군표,a military payment certificate
군핍,need
군함,"a galley, a man of war, warship"
군함기,"color, colour"
군함새,"frigate bird, mano`war bird(hawk)"
군항,naval station
군호,countersign; signal
군혼,communal marriage
군화,combat boots
군홧발,a foot with a military boot on it
굳고,unsweetened
굳기,temper
굳다,Harden or become hard
굳세다,"stout, sturdy"
굳센,"tough-minded, unbending"
굳센사람,old ironside
굳셈,inexhaustibility
굳어버린,confirmed
굳어져,crusty
굳어지다,Become hard
굳이,Firmly or admanantly
굳히다,Harden or make hard
굴,cave; oyster
굴곡,"bend, curve, turning"
굴곡굽음,an inflection
굴곡되다,to be crooked
굴곡부,"a bend, a turn, hook"
굴곡성,flexibility
굴곡하다,"to wind, to turn, to inflect"
굴광성,phototropism
굴근,flexor
굴껍질,acorn shell; oystershell
굴다,to behave like
굴대,a (wheel) axle
굴대받이통,bushing
굴대의,axial; axile
굴뚝,"chimney (house), stack (train, steamer)"
굴뚝같다,"to be anxious, eager for the arrival of news or an important guest"
굴뚝새,"troglodyte, wren"
굴러가다,roll
굴러다니다,troll
굴러들다,to come into some money
굴러떨어지다,roll
굴렁쇠,hoop
굴레,"chain, cord, noose"
굴류성,rheotropism
굴리다,roll
굴림,rolling
굴림낚시,drail
굴림대,roller
굴복,"surrender, submission"
굴복시키다,"make kneel, bring (a person) to one's knees, prostrate"
굴복자,bower
굴복하다,"cave in to, crack, give in to the pressure, succumb"
굴사,refraction
굴사의,refractional
굴수성,hydrotropism
굴수성의,hydrotropic
굴신,stretching and bending your body
굴양식,oyster culture
굴양식장,oyster bed
굴열성,thermotropism
굴욕,"humiliation, mortification, takedown"
굴욕적인,humiliating
굴을파다,burrow
굴일성의,heliotropic
굴절각,refracting angle
굴절계,refractometer
굴절렌즈,refractor
굴절력,refraction
굴절률,refractive index
굴절망원경,refractor
굴절매체,refractor
굴절성,anaclastic
굴절어,inflational languge
굴절율,refractive index
굴절하다,reverberate
굴젓,pickled oysters
굴종,stoop
굴종하다,truckle
굴지,"leader, a fore-runner"
굴지성,"geotropic, geotropism"
굴착자,excavator
굴착장치,spudder
굴퉁이,soap bubble; trumpery
굴퉁이의,shoddy
굴하다,yield to
굴하지않는,unyielding
굴화성,chemotropism
굵기,thckness
굵다,"Be thick or fat; to be coarsely-grained, to be in large powdered pieces"
굵어지다,thicken
굶다,To starve or go hungry
굶주리게하다,famish
굶주리다,"to go hungry, to be starving"
굶주린,"hardset, hungry; ""you have been denied your wishes/heart so far""; ravenous, starved"
굶주림,"esurience, hunger, starvation"
굼뚬,inertia
굼뜨다,"a procedure, motion or progress is so slow as cause one distress ; slo"
굼뱅이,snail
굼벵이,"a grub; a slowpoke, sb really slow"
굼틀대다,turn
굽기,"baking, roasting"
굽다,"angle, crook, flex, lean, sag, skew; To roast or bake"
굽도리널,mopboard
굽실거리다,"cringe in fear, cower, crouch; to be obsequeious, fawning to"
굽실거림,cringe
굽실굽실하는,slimy
굽어보다,to bend over and look at
굽어지다,curl
굽음,"flex, incurvation"
굽이,"sinuosity, winding"
굽이쳐서,meanderingly
굽이치기,roll
굽이치는,"rolling; flexuose, flexuous, gyrose"
굽이치다,"heave, roll, undulate, wave"
굽이침,"crinkle, curl, meander; heave, surge, undulation"
굽지않은,unbend
굽히다,Bend or stoop
굽힐줄모르는,unrelenting
굽힘,flex
굿,"a hole, a pit; a bunch of noisy misfits in the classroom, some spectacular scene"
궁,a palace
궁경,"an impasse, a predicament, a quandary; necessity, poverty"
궁구하다,to thoroughly investigate
궁극,"finally, in the end"
궁극인,final cause
궁극적,"Finally or in the end, 마지막으로, ultimately"
궁금증,sth you are worried about
궁금하다,To wonder or be curious about
궁깃,the feathers of an arrow
궁녀,court lady; ladyinwaiting
궁둥이,"arse, fanny, rear end, the buttocks (the part that you sit on)"
궁륭,groining
궁릉,groin
궁리,"devise, incubate, think really hard"
궁박,difficulty
궁벽한,remote; retired
궁상,necessity; poor and pitiful situation
궁색,"for weak reasons, for no good reasons"
궁색한,embarrassed
궁술,archery
궁술가,archer; toxophilite
궁술의,toxophilite
궁시,a bow and arrow
궁여지책,a last resort
궁전,palace; palais
궁정,court; seraglio
궁정의,aulic; court
궁정풍으로,courtly
궁중,court
궁중복,court dress
궁지,"cul-de-sac, dilemma, jam, mire, quagmire, difficult position"
궁핍,"necessity, neediness, dire straits; being pressed for money"
궁핍한,"distressed, indigent, necessitous"
궁합,"marital harmony, marital bliss"
궁형,arch
궁형부,arching
궂다,"inclement, rotten, bad"
권,A volume or a book
권계면,tropopause
권고,"counsel, exhortation, recommendation"
권고의,"hortative, recommendatory"
권고자,monitor
권고적인,exhortative
권고하는,admonitory
권고하다,"counsel; exhort, urge"
권곡,cirque
권능,"authority, power and influence, charisma"
권력자,"czar, lord, the number one guy"
권력주의자,powermonger
권리금,"a foregift, key money"
권리불행사,nonuser
권리자,obligee
권리침해,"an injustice, damaging the authority of"
권리평등,isonomy
권리포기,remise; nonuser
권면액,face value
권모술수,the ends justifies the means. Especially used for politics.
권불십년,might/influence doesn`t last 10 years
권선징악,Advising to do good and punishing those who do bad.
권세,"influence, power"
권속,"one's dependents, those in one family who are your dependents"
권수,tendril
권운,cirrus
권운모양의,cirrous
권위,1) Authority or power 2) dignity or prestige
권위를가지고,ex cathedre
권위서,classic
권위자,"an authority, a wielder of knowledge about; a specialist doctor"
권위주의,authoritarianism
권위주의자,authoritarian
권위주의적,authoritarianistic
권위주의화,a change to authoritarianism
권유,"campaigning for sth, canvassing, invitation, solicitation"
권유하다,"to canvass, induce, persuade"
권익,the interests of
권장,recommendation
권장하다,to recommend
권적운,cirrocumulus
권좌,cathedra
권총,"handgun, pistol"
권층운,cirrostratus; stratocirrus
권태,"boredom, lassitude, tedium, weariness"
권태롭다,to be bored or lazy
권토중래,"if you fall, get up and do it again."
권투,Boxing or K1
권투가,bruiser
권투선수,"boxer, fighter, mauler"
권투장,prize ring
권표,"mace, rod, staff, truncheon"
권품천신,principality
권하다,1) advise or persuade 2) recommend
권한,"authority, bloc, having the right to, purview of rights"
권한대행,vicarious representation
권형,former
권화,"avatar, impersonation, incarnation"
궐련,"a cigarette, -ret"
궐련갑,cigarette case
궛가,edge of the ear
궤,chest
궤간,gauge
궤다,ran
궤도머리,railhead
궤도차,"a car, railcar"
궤멸시키다,crush
궤멸적인,crushing
궤변,"chicanery, choplogic, sophism, sophistry"
궤변가,"sophister, sophist"
궤변부리다,sophisticate
궤변술,sophistry
궤변의,elenctic
궤변적인,"sophistic, sophistical; Jesuitic, Jesuitism"
궤변학자,sophismist
궤양,ulcer; ulceration
궤양성의,ulcerous
궤양의,ulceratious; ulcerative
궤양화하다,ulcerate
궤적,a locus (equidistant points on the line making a circle)
궤전선,feeder
궤조,"a rail, a train rail"
궤주,"a rout, people running helter skelter for their lives, a stampede"
궤주하다,skedaddle
귀,Ear
귀가,Returning home
귀가하다,To return home
귀감람석,chrysolite
귀갑,turtleback; whaleback
귀갑모양의,testudinate
귀갑의,testudinalp
귀결,"a conclusion, a result"
귀결절,apodosis
귀고리,an earring
귀공자,childe; Junker
귀관,(usually in a letter) a way of speaking highly of the recipient
귀국,Returning to one's home country
귀국자,remigrant; repatriate
귀국하다,To return to one's home country
귀극,polarization
귀금속,noble metal; precious metals
귀납,induction; recursion
귀납식,recursion formula
귀납적,inductive
귀납하다,induce
귀담다,to take sth to heart
귀덮개,earflap
귀돌,headstone; quoin
귀동냥,something heard and learned from listening to others
귀동이,Benjamin
귀두,"the glans, the tip of the penis"
귀두염,balanitis
귀뚜라미,cricket; grig
귀뚤귀뚤,chirr
귀뚤귀뚤울다,chirr
귀뜀,griffin
귀띔,giving sb the heads up
귀로,backhaul
귀로의,homeward
귀리,oats (oatmeal oats)
귀리씨,oat seeds
귀마개,earplug
귀머거리의,deaf
귀먹음,deafness
귀밝은,quickeared
귀부인,"a donna, a grande dame, a woman of loyalty"
귀부인들,ladyhood
귀비,a high position in 조선시대 or in ancient China
귀빈,"a V.I.P., a distinguished guest"
귀사,self
