70세,threescore
공모,"public subscription; conspiracy; cahoots, collusion, complicity, complot, confederacy, covin"
공무원,"public officer; Public servant, an employee of the government"
공문서서체,court hand
공법률,public act
공복,"public servant; stomach emptiness, hunger, hungriness; a public servant"
공손히,hat
공유지,"public land; common land, public domain"
공정선,production line
공채,public loan; company stock; public debt
공표하다,"make known; circularize, proclaim, widely report all across the world"
과격론자,fringer; radical; ultra
과관절,hock
과수원,fruit ranch; orchard
관악기,wind; pipe; wind instrument
광궤,"broad(narrow) gauge; a wide railroad track, ""broad guage"""
광명,light; lucidity
광장,"maidan; An open space or a plaza or public square, a piazza"
광택,"luster; gloss, lustre, sheen, wet look"
광택계,glossmeter
괜찮음,tolerability
괴롭히다,"ratten; to bother, to smite, to tease; to Afflict or torment sb else"
교살당하다,kick the wind
교수형,"necktie party; punishment of sending to the gallows, death by hanging"
구명대,life preserver; safety belt; life belt
구명망,life net
구보,double march; double time
구성,"maiden name; Organization or constitution, the framework of something"
구애하다,"make; to woo, to court"
구역제,zoning
구직광고,want ad
구충제,vermicide; insectifuge; parasiticide
구폐,the old leaven
구획하다,mark; compartmentalize
국민당,kuomintang
국사범,state
국유재산,state
국지전,limited
군주,"liege; czar, duke, lord, monarch, sovereign"
군호하다,sound
굳어진,"candied; callous, hardened"
굴절,"deflection; inflection, bending, refraction"
굴절시키다,refract; reverberate; circumflex
굴착기,navvy
굼뜬,"lymphatic; a procedure, motion or progress is so slow as cause one distress"
굽,stem; heel; hoof
굽은,"taliped; bent, bowed"
궁정기사,court circular
권력,"puissance; authority, clout, power"
권리,privilege; The ability to enforce a right or a claim to sth
권법,kung fu
궤도,"orbit (around an object); rail track, tram track; trajectory, an orbit"
귀때,lip; beak
귀절,verse
귀천,gentle; the noble and the base
규정하다,ordain; to distribute according to category and make a chart; to correct
규정항로,lane
규칙,order; Rules or regulations
규칙대로의,according to Hoyle
균형식,balanced
그대로,sic; Like that
그래도,though; All the same
그러나,but then
그러모은,scratchy; made; snippy
그런데,now then; But or however
그만두다,let; Stop or discontinue
그치,my gentleman
극단으로,up to the handle
극단적으로,to the limit
극단파,lunatic fringe
극도로,"to the utmost; consumedly, to the utmost"
극량,maximum dose
극소본,micro book
극한,"frozen limit; a mathematical limit (an approaching value); the extreme point one can reach to, an extremity"
근친인,near (next) of kin
금기,"taboo; a (medical) contraindication (re: drugs), a taboo (sth that doesn't go"
금몰,gold lace
금일,"today, the day in question"
금제선,forbidden line
금지,proscription; Forbidden or prohibitted
급변,flipflap; flipflop; a sudden change in the situation
급수장,watering place
급함,hurry; sharpness
기,"power, vitality, energy; an era, a time frame; radical"
기계어,machine word; word
기관,"machinery; organ; an agency, member"
기관차,"locomotive; engine, locomotive, motive power, puffpuff, wildcat"
기꺼이,"nothing loath; agreeably, cheerfully, gladly, gratefully, kindly, willingly"
기껏해야,"at the (very) outside; at the utmost; at the most, in the best or the worst case"
기념문,propylon; monument
기능자,fundi
기능주의,functionalism
기도,"mantra; contemplation, crack, incubation, intercession; A prayer"
기도서,"(the liturgy; prayer book, service book"
기도하는사람,chaplain
기록,memorabilia; A record or a document
기복하다,wave
기사,chevalier; An article or an account; Technician
기선으로,by steam
기수에,fore
기술,"science; Art or technique or ability; magic, a slight of the hands"
기울어,"on the tilt; decline, declining"
기일,"term; a specific date; date, fixed schedule date"
기자,mediaperson; A journalist
기자회견,news conference
기저부,fundus
기절시키다,"stun; to cause to faint, to cause to swoon"
기형아,thalidomide; an oaf
긴속옷,long johns
길게,"at full length; long, lengthways"
길들다,"tame; to tame a wild animal, or make your boy/girfriend settle down with you"
깃가지,flue
까다로운,acidic
깔개,"table mat; carpet, footcloth, mat, rug"
깔짚,litter; bedstraw
